English,Hungarian
see,lásd
watch,nézd
play,játszani
homework,házi feladat
do,csináld
sell,eladni
buy,vásárolni
sleep,aludni
walk,séta
notebook,notebook
 bag,táska
face,arc
nose,orr
bed,ágy
fork,villa
spoon,kanál
towel,törölköző
time,idő
write,ír
good,jó
 bad,rossz
amazing,elképesztő
wonderful,csodálatos
cake,torta
delicious,Finom
restaurant,étterem
food,étel
watermelon,görögdinnye
send,küldeni
letter,levél
 poem,vers
run,futni
morning,reggel
afternoon,délután
evening,este
coffee,kávé
search,keresés
find,talál
movie,film
cinema,mozi
street,utca
road,út
friend,barát
travel,utazás
go,menj
come,gyere
look,figyeld
work,munka
accept,elfogad
dream,álom
earth,föld
cave,barlang
fire,tűz
hair,haj
accident,baleset
guest,vendég
dog,kutya
information,információ
jam,lekvár
edit,szerkesztés
actual,tényleges
incorrect,helytelen
jewelry,Ékszerek
art,művészet
flat,lakás
grass,fű
alone,egyedül
health,egészség
crow,varjú
letter,levél
exit,kijárat
lucky,szerencsés
train,vonat
mirror,tükör
strong,erős
power,erő
warm,meleg
function,funkció
hear,hall
kingdom,királyság
cloud,felhő
eye,szem
laugh,nevetés
deaf,süket
nobody,senki
back,hát
fall,esik
give, ad
combat,harc
finger,ujj
necessary,szükséges
basic,alapvető
large,nagy
plant,növény
open,nyitott
middle,középső
before,előtt
port,kikötő
